식당명,도로명주소,지번주소,식당위도,식당경도,,,,,,,,,,,,,,,,,,,,,,,
황금코다리 전주송천점,전라북도 전주시 덕진구 두간3길 5,전라북도 전주시 덕진구 송천동1가 813-1,35.8648436,127.1203399,,,,,,,,,,,,,,,,,,,,,,,
카페플리츠,전라북도 전주시 완산구 전라감영2길 9,전라북도 전주시 완산구 다가동1가 47-2,35.8152363,127.1422067,,,,,,,,,,,,,,,,,,,,,,,
고빼기 효자점,전라북도 전주시 완산구 거마평로 147-14,전라북도 전주시 완산구 효자동1가 453-1,35.8054669,127.115284,,,,,,,,,,,,,,,,,,,,,,,
오복식당,전라북도 전주시 덕진구 솔내7길 10-2,전라북도 전주시 덕진구 송천동1가  478-14,35.8597455,127.1219622,,,,,,,,,,,,,,,,,,,,,,,
그린가맥,전라북도 전주시 완산구 현무2길 34,전라북도 전주시 완산구 경원동3가 168,35.8209996,127.1498522,,,,,,,,,,,,,,,,,,,,,,,
9413,전라북도 전주시 완산구 풍남문3길 14 1층,전라북도 전주시 완산구 전동 94-13,35.8145063,127.1474454,,,,,,,,,,,,,,,,,,,,,,,
홍춘천치즈닭갈비 송천1점,전라북도 전주시 덕진구 붓내3길 15,전라북도 전주시 덕진구 송천동2가 247-1,35.8667194,127.1230674,,,,,,,,,,,,,,,,,,,,,,,
노매딕 브루잉 컴퍼니,전라북도 전주시 완산구 전라감영3길 12-10,전라북도 전주시 완산구 중앙동2가 50-4,35.8164191,127.143804,,,,,,,,,,,,,,,,,,,,,,,
포차나,전라북도 전주시 완산구 봉곡로 4,전라북도 전주시 완산구 효자동2가 1305-6,35.8116273,127.0941907,,,,,,,,,,,,,,,,,,,,,,,
다온초밥,전라북도 전주시 완산구 거마평로 204-1,전라북도 전주시 완산구 효자동1가 621-12,35.8106412,127.1150188,,,,,,,,,,,,,,,,,,,,,,,
무로,전라북도 전주시 완산구 후곡길 11-12,전라북도 전주시 완산구 효자동2가 1308-5,35.8100292,127.0951561,,,,,,,,,,,,,,,,,,,,,,,
걸작떡볶이치킨 전주효자신시가지점,전라북도 전주시 완산구 홍산1길 21,전라북도 전주시 완산구 효자동2가 1157-1,35.8143369,127.1073163,,,,,,,,,,,,,,,,,,,,,,,
펍 그리즐리,전라북도 전주시 덕진구 명륜4길 18-3 2층 펍 그리즐리,전라북도 전주시 덕진구 덕진동1가  1314-172,35.8432974,127.127472,,,,,,,,,,,,,,,,,,,,,,,
라화쿵부 고사점,전라북도 전주시 완산구 전주객사4길 71,전라북도 전주시 완산구 고사동 362-2,35.8208289,127.1430789,,,,,,,,,,,,,,,,,,,,,,,
갈통삼 전북 효자점,전라북도 전주시 완산구 우전로 205,전라북도 전주시 완산구 효자동2가 1252-3,35.8128671,127.1016985,,,,,,,,,,,,,,,,,,,,,,,
깐깐한족발신시가지점,전라북도 전주시 완산구 홍산북로 71,전라북도 전주시 완산구 효자동3가 1530-10,35.8175919,127.1097514,,,,,,,,,,,,,,,,,,,,,,,
육회공작소 전북대점,전라북도 전주시 덕진구 명륜3길 17-1 1층 육회공작소,전라북도 전주시 덕진구 덕진동1가 1263-16,35.8428896,127.1277017,,,,,,,,,,,,,,,,,,,,,,,
신본참치,전라북도 전주시 완산구 마전들로 71 2층,전라북도 전주시 완산구 효자동3가 1648-3,35.8212207,127.1032896,,,,,,,,,,,,,,,,,,,,,,,
이태리부대찌개 전주효자점,전라북도 전주시 완산구 효자천변2길 17 1층(효자동1가),전라북도 전주시 완산구 효자동1가 651-2,35.8044596,127.1143303,,,,,,,,,,,,,,,,,,,,,,,
배스킨라빈스 전주효자,전라북도 전주시 완산구 용머리로 48,전라북도 전주시 완산구 효자동1가 432-2,35.8061828,127.1155725,,,,,,,,,,,,,,,,,,,,,,,
뫔컬러카페,전라북도 전주시 완산구 충경로 18-3 뫔컬러카페,전라북도 전주시 완산구 중앙동1가 36-7,35.8166077,127.1415888,,,,,,,,,,,,,,,,,,,,,,,
백제성 숯불구이 정육식당,전라북도 전주시 완산구 홍산2길 5-8,전라북도 전주시 완산구 효자동3가 1543-1,35.8151694,127.1097452,,,,,,,,,,,,,,,,,,,,,,,
후라이드참잘하는집 송천점,전라북도 전주시 덕진구 솔내8길 16,전라북도 전주시 덕진구 송천동1가 484,35.8608787,127.1229679,,,,,,,,,,,,,,,,,,,,,,,
아만두,전라북도 전주시 덕진구 들사평서로 31 아만두,전라북도 전주시 덕진구 덕진동1가 1547-158,35.8385171,127.1195519,,,,,,,,,,,,,,,,,,,,,,,
이치류양심,전라북도 전주시 완산구 홍산북로 22,전라북도 전주시 완산구 효자동2가 1236-2,35.8173268,127.1043101,,,,,,,,,,,,,,,,,,,,,,,
닭갈비제작소 전주효자점,전라북도 전주시 완산구 쑥고개로 315 호화빌딩 2층,전라북도 전주시 완산구 효자동2가 1214-4,35.8024612,127.0995649,,,,,,,,,,,,,,,,,,,,,,,
마천루,전라북도 전주시 완산구 서곡2길 14-9,전라북도 전주시 완산구 효자동3가 1464-7,35.8333298,127.10171,,,,,,,,,,,,,,,,,,,,,,,
대한참치,전라북도 전주시 덕진구 두간로 21,전라북도 전주시 덕진구 송천동1가 803-7,35.865514,127.1167922,,,,,,,,,,,,,,,,,,,,,,,
카페 블루,전라북도 전주시 완산구 태진로 58-8,전라북도 전주시 완산구 태평동 255-12,35.8260654,127.1370262,,,,,,,,,,,,,,,,,,,,,,,
더리얼커피앤쥬스,전라북도 전주시 덕진구 오송1길 37-17 kcc상가111호,전라북도 전주시 덕진구 송천동1가 879,35.8649433,127.1303509,,,,,,,,,,,,,,,,,,,,,,,
섬세꼬시,전라북도 전주시 덕진구 붓내3길 8,전라북도 전주시 덕진구 송천동2가 247-5,35.8665064,127.122315,,,,,,,,,,,,,,,,,,,,,,,
서해바다횟집,전라북도 전주시 완산구 석산1길 18-7 2층,전라북도 전주시 완산구 효자동3가 1694-3,35.8207978,127.1037466,,,,,,,,,,,,,,,,,,,,,,,
BBQ 전주신도시점,전라북도 전주시 완산구 봉곡로 118-1,전라북도 전주시 완산구 효자동2가 1327-4,35.810761,127.1066681,,,,,,,,,,,,,,,,,,,,,,,
루시가토효자몰점,전라북도 전주시 완산구 용머리로 45 2층,전라북도 전주시 완산구 효자동1가 434,35.806925,127.1155722,,,,,,,,,,,,,,,,,,,,,,,
caffe THERA 카페 테라,,전라북도 전주시 완산구 효자동2가 845-1,35.7983906,127.0922029,,,,,,,,,,,,,,,,,,,,,,,
편백집 전주객사점,전라북도 전주시 완산구 전주객사4길 84,전라북도 전주시 완산구 고사동 243-1,35.8213725,127.1431264,,,,,,,,,,,,,,,,,,,,,,,
酒한장,전라북도 전주시 덕진구 명륜4길 11-7,전라북도 전주시 덕진구 덕진동1가 1262-6,35.8432393,127.1257747,,,,,,,,,,,,,,,,,,,,,,,
옛촌막걸리 전북대점,전라북도 전주시 덕진구 명륜3길 18-2 2층 옛촌막걸리 전북대점,전라북도 전주시 덕진구 덕진동1가 1264-24,35.842554,127.1280264,,,,,,,,,,,,,,,,,,,,,,,
스시요헤이,전라북도 전주시 완산구 우전로 299,전라북도 전주시 완산구 효자동3가 1667-6,35.8213939,127.1016696,,,,,,,,,,,,,,,,,,,,,,,
더리터 서곡점,전라북도 전주시 완산구 세내로 554,전라북도 전주시 완산구 효자동3가 1452-4,35.8344698,127.0988977,,,,,,,,,,,,,,,,,,,,,,,
59피자 59쌀피자 전주송천1호점,전라북도 전주시 덕진구 붓내3길 34,전라북도 전주시 덕진구 송천동2가 233-1,35.8665583,127.125075,,,,,,,,,,,,,,,,,,,,,,,
전주가정식백반,전라북도 전주시 완산구 홍산북로 45-24,전라북도 전주시 완산구 효자동3가 1527-19,35.818151,127.1069433,,,,,,,,,,,,,,,,,,,,,,,
녹색불고기,전라북도 전주시 덕진구 송천1길 3-1,전라북도 전주시 덕진구 송천동1가 386-1,35.8562805,127.1196899,,,,,,,,,,,,,,,,,,,,,,,
돼지치마집 송천점,전라북도 전주시 덕진구 솔내로 108 101호,전라북도 전주시 덕진구 송천동1가 137-3,35.8598687,127.1267874,,,,,,,,,,,,,,,,,,,,,,,
솔내향식당,전라북도 전주시 덕진구 송천중앙로 175 2층,전라북도 전주시 덕진구 송천동1가 486-17,35.8625328,127.121273,,,,,,,,,,,,,,,,,,,,,,,
진미집,전라북도 전주시 덕진구 두간로 17,전라북도 전주시 덕진구 송천동1가 803-5,35.8654571,127.1164313,,,,,,,,,,,,,,,,,,,,,,,
카페스타치오,전라북도 전주시 완산구 원서곡길 45,전라북도 전주시 완산구 효자동3가 745-2,35.8331419,127.0947647,,,,,,,,,,,,,,,,,,,,,,,
컬러인커피신시가지점,전라북도 전주시 완산구 홍산1길 7,전라북도 전주시 완산구 효자동2가 1157-4,35.8146261,127.1088406,,,,,,,,,,,,,,,,,,,,,,,
미친고기 효자점,전라북도 전주시 완산구 마전들로 74 1층 103호,전라북도 전주시 완산구 효자동3가 1694-2,35.8208831,127.1035701,,,,,,,,,,,,,,,,,,,,,,,
우리술 오늘,,전라북도 전주시 덕진구 송천동1가 342,35.8543907,127.1190446,,,,,,,,,,,,,,,,,,,,,,,
문꼬치 은행로점,전라북도 전주시 완산구 은행로 81,전라북도 전주시 완산구 교동 125-1,35.812668,127.1530164,,,,,,,,,,,,,,,,,,,,,,,
장터뚝배기,전라북도 전주시 덕진구 오송1길 37-5 1층125호,전라북도 전주시 덕진구 송천동1가 98,35.8635832,127.1304546,,,,,,,,,,,,,,,,,,,,,,,
라떼이즈,전라북도 전주시 완산구 문학대4길 32-1 트라움빌1층,전라북도 전주시 완산구 효자동3가 1617-1,35.8265918,127.1055676,,,,,,,,,,,,,,,,,,,,,,,
현해탄,전라북도 전주시 완산구 태평1길 32 2층,전라북도 전주시 완산구 다가동4가 1-6,35.8213357,127.139549,,,,,,,,,,,,,,,,,,,,,,,
돼지치마집 본점,전라북도 전주시 덕진구 가리내8길 10-3 1층 101호,전라북도 전주시 덕진구 덕진동2가 670-7,35.8437406,127.1104928,,,,,,,,,,,,,,,,,,,,,,,
오픈마인드,전라북도 전주시 덕진구 명륜3길 18-6,전라북도 전주시 덕진구 덕진동1가 1264-10,35.8423699,127.1282173,,,,,,,,,,,,,,,,,,,,,,,
Angel-in-us 엔제리너스 전북대점,전라북도 전주시 덕진구 권삼득로 343 1층,전라북도 전주시 덕진구 덕진동1가 664-1,35.845373,127.1253881,,,,,,,,,,,,,,,,,,,,,,,
역전할머니맥주 서곡점,전라북도 전주시 완산구 서곡로 71,전라북도 전주시 완산구 효자동3가 1435-5,35.8353444,127.1012124,,,,,,,,,,,,,,,,,,,,,,,
연어이야기,전라북도 전주시 덕진구 가리내8길 10-7,전라북도 전주시 덕진구 덕진동2가 670-5,35.8440243,127.1104581,,,,,,,,,,,,,,,,,,,,,,,
Cafe YENA,전라북도 전주시 덕진구 혁신로 478,전라북도 전주시 덕진구 장동 600-13,35.8552654,127.0668601,,,,,,,,,,,,,,,,,,,,,,,
RIUOOM 2nd,전라북도 전주시 완산구 척동5길 5,전라북도 전주시 완산구 효자동3가 1653-2,35.8230039,127.099272,,,,,,,,,,,,,,,,,,,,,,,
사랑에 머물다,전라북도 전주시 완산구 마전들로 21 1층,전라북도 전주시 완산구 효자동3가 1669-5,35.8211785,127.0978366,,,,,,,,,,,,,,,,,,,,,,,
장수한우곱창,전라북도 전주시 완산구 후곡길 11-4,전라북도 전주시 완산구 효자동2가 1309-8,35.8097813,127.095467,,,,,,,,,,,,,,,,,,,,,,,
수지,전라북도 전주시 완산구 용리로 49,전라북도 전주시 완산구 효자동1가 669-8,35.7988572,127.1152671,,,,,,,,,,,,,,,,,,,,,,,
